Profession,2014,2016,2018,2019,2020,2022,2024,% Change 2014–2024,% Change 2019–2024
Business and financial operations occupations,6828940,7281190,7721300,8054395.0,8387490,9677720,10351440,51.581943903446216,28.519150103763224
"Software and Web Developers, Programmers, and Testers",1492040,1604570,1666270,1738715.0,1811160,2049920,2154370,44.39090104822927,23.905873015416557
Personal financial advisors,196490,201850,200260,209155.0,218050,283060,270480,37.65586034912718,29.320360498195118
Civil engineers,263460,287800,306030,303440.0,300850,307570,355410,34.90093372808016,17.126944371210122
Paralegals and legal assistants,272580,277310,309940,321330.0,332720,345240,367220,34.720082177709294,14.281268477888776
Designers,445200,492930,519180,512020.0,504860,563810,588160,32.111410601976644,14.870512870590993
Lawyers,603310,619530,642750,650435.0,658120,707160,747750,23.9412573966949,14.961525748153159
Legal occupations,1052900,1075520,1127900,1141320.0,1154740,1216600,1273410,20.943109507075697,11.573441278519608
"Claims adjusters, examiners, and investigators",266280,274420,287730,287440.0,287150,285270,312810,17.474087426768815,8.826189813526302
Writers and Authors,43500,44690,45210,44725.0,44240,54010,47800,9.885057471264368,6.875349357182784
Graphic designers,197540,210710,217810,209625.0,201440,211890,214260,8.464108534980257,2.2110912343470486
Electrical engineers,174550,183770,186490,185855.0,185220,182210,188790,8.15812088226869,1.57918807672648
Writers and Editors,189060,191640,191320,188905.0,186490,204060,198810,5.157092986353538,5.243376300256743
"Architects, except naval",107000,119280,123020,123825.0,124630,107490,111140,3.8691588785046727,-10.24429638602867
Database and Network Administrators and Architects,617680,647610,629020,630780.0,632540,642840,633540,2.567672581271856,0.43755350518405783
Computer hardware engineers,76360,72950,60750,62730.0,64710,74640,75710,-0.8512310110005238,20.6918539773633
Aerospace engineering,69080,68510,63960,62295.0,60630,61580,68440,-0.9264620729588882,9.864355084677744
Credit analysts,69390,72930,74820,73455.0,72090,71960,67370,-2.911082288514195,-8.283983391191887
Insurance Claims and Policy Processing Clerks,252670,274350,274560,257650.0,240740,227580,229070,-9.340246170894844,-11.092567436444789
"News Analysts, Reporters and Journalists",46590,45160,43030,42305.0,41580,44530,41550,-10.817772054088861,-1.7846590237560571
Illustrators,12100,11520,11620,11345.0,11070,12080,10000,-17.355371900826448,-11.855442926399295
Budget analysts,57120,54700,52810,51035.0,49260,48430,47170,-17.419467787114844,-7.5732340550602535
Aerospace engineering and operations technologists and technicians,11230,11970,10110,11005.0,11900,9750,9060,-19.323241317898486,-17.673784643343936
Electrical and electronic engineering technologists and technicians,137040,134870,126950,121110.0,115270,99050,92710,-32.3482194979568,-23.449756419783668
