Occupation,2014,2019,2024,% Change 2014–2024,% Change 2019–2024
Business and financial operations occupations,6828940,8387490,10351440,51.581943903446216,23.415229109066
"Software and Web Developers, Programmers, and Testers",1492040,1811160,2154370,44.39090104822927,18.94973387221449
Personal financial advisors,196490,218050,270480,37.65586034912718,24.044943820224717
Civil engineers,263460,300850,355410,34.90093372808016,18.13528336380256
Paralegals and legal assistants,272580,332720,367220,34.720082177709294,10.36907910555422
Designers,445200,504880,588160,32.111410601976644,16.495008714942163
Lawyers,603310,658120,747750,23.9412573966949,13.619096821248405
Legal occupations,1052900,1154740,1273410,20.943109507075697,10.276772260422259
"Claims adjusters, examiners, and investigators",266280,287150,312810,17.474087426768815,8.936096117012013
Writers and Authors,43500,44240,47800,9.885057471264368,8.047016274864376
Graphic designers,197540,201440,214260,8.464108534980257,6.36417791898332
Electrical engineers,174550,185220,188790,8.15812088226869,1.9274376417233559
Writers and Editors,189060,186490,198810,5.157092986353538,6.606252345970293
"Architects, except naval",107000,124630,111140,3.8691588785046727,-10.824039155901469
Database and Network Administrators and Architects,617680,632540,633540,2.567672581271856,0.15809276883675338
Computer hardware engineers,76360,64710,75710,-0.8512310110005238,16.99891825065678
Aerospace engineering,69080,60630,68440,-0.9264620729588882,12.881411842322283
Credit analysts,69390,72090,67370,-2.911082288514195,-6.547371341378833
Insurance Claims and Policy Processing Clerks,252670,240740,229070,-9.340246170894844,-4.847553377087315
"News Analysts, Reporters and Journalists",46590,41580,41550,-10.817772054088861,-0.07215007215007214
Illustrators,12100,11070,10000,-17.355371900826448,-9.66576332429991
Budget analysts,57120,49260,47170,-17.419467787114844,-4.242793341453512
Aerospace engineering and operations technologists and technicians,11230,11900,9060,-19.323241317898486,-23.865546218487395
Electrical and electronic engineering technologists and technicians,137040,115270,92710,-32.3482194979568,-19.571440964691593
